code,port_of_entry,city,state_or_country
ALC,"Alcan, Ak ",Alcan, Ak 
ANC,"Anchorage, Ak ",Anchorage, Ak 
BAR,"Baker Aaf - Baker Island, Ak",Baker Aaf - Baker Island, Ak
DAC,"Daltons Cache, Ak ",Daltons Cache, Ak 
PIZ,"Dew Station Pt Lay Dew, Ak",Dew Station Pt Lay Dew, Ak
DTH,"Dutch Harbor, Ak ",Dutch Harbor, Ak 
EGL,"Eagle, Ak ",Eagle, Ak 
FRB,"Fairbanks, Ak ",Fairbanks, Ak 
HOM,"Homer, Ak ",Homer, Ak 
HYD,"Hyder, Ak ",Hyder, Ak 
JUN,"Juneau, Ak ",Juneau, Ak 
5KE,"Ketchikan, Ak",Ketchikan, Ak
KET,"Ketchikan, Ak ",Ketchikan, Ak 
MOS,"Moses Point Intermediate, Ak",Moses Point Intermediate, Ak
NIK,"Nikiski, Ak ",Nikiski, Ak 
NOM,"Nom, Ak ",Nom, Ak 
PKC,"Poker Creek, Ak ",Poker Creek, Ak 
ORI,"Port Lions Spb, Ak",Port Lions Spb, Ak
SKA,"Skagway, Ak ",Skagway, Ak 
SNP,"St. Paul Island, Ak",St. Paul Island, Ak
TKI,"Tokeen, Ak",Tokeen, Ak
WRA,"Wrangell, Ak ",Wrangell, Ak 
HSV,"Madison County - Huntsville, Al",Madison County - Huntsville, Al
MOB,"Mobile, Al ",Mobile, Al 
LIA,"Little Rock, Ar (Bps)",Little Rock, Ar (Bps)
ROG,"Rogers Arpt, Ar",Rogers Arpt, Ar
DOU,"Douglas, Az ",Douglas, Az 
LUK,"Lukeville, Az ",Lukeville, Az 
MAP,Mariposa Az ,Mariposa Az ,
NAC,"Naco, Az ",Naco, Az 
NOG,"Nogales, Az ",Nogales, Az 
PHO,"Phoenix, Az ",Phoenix, Az 
POR,"Portal, Az",Portal, Az
SLU,"San Luis, Az ",San Luis, Az 
SAS,"Sasabe, Az ",Sasabe, Az 
TUC,"Tucson, Az ",Tucson, Az 
YUI,"Yuma, Az ",Yuma, Az 
AND,"Andrade, Ca ",Andrade, Ca 
BUR,"Burbank, Ca",Burbank, Ca
CAL,"Calexico, Ca ",Calexico, Ca 
CAO,"Campo, Ca ",Campo, Ca 
FRE,"Fresno, Ca ",Fresno, Ca 
ICP,"Imperial County, Ca ",Imperial County, Ca 
LNB,"Long Beach, Ca ",Long Beach, Ca 
LOS,"Los Angeles, Ca ",Los Angeles, Ca 
BFL,"Meadows Field - Bakersfield, Ca",Meadows Field - Bakersfield, Ca
OAK,"Oakland, Ca ",Oakland, Ca 
ONT,"Ontario, Ca",Ontario, Ca
OTM,"Otay Mesa, Ca ",Otay Mesa, Ca 
BLT,"Pacific, Hwy. Station, Ca ","Pacific, Hwy. Station", Ca 
PSP,"Palm Springs, Ca",Palm Springs, Ca
SAC,"Sacramento, Ca ",Sacramento, Ca 
SLS,"Salinas, Ca (Bps)",Salinas, Ca (Bps)
SDP,"San Diego, Ca",San Diego, Ca
